system,duration_ms,vram_peak_gb,ppl_delta,compression_ratio,prompt_chars,run_idx
apohara,3075.0044750002417,3.452035903930664,0.0,2.3777777777777778,726,0
turboquant,248.78268400061643,6.657358646392822,0.0,1.0,726,0
apohara,2990.9706990001723,6.656585216522217,0.0,2.3777777777777778,726,1
turboquant,244.6825679999165,6.656585216522217,0.0,1.0,726,1
apohara,3559.032216999185,6.656585216522217,0.0,2.3777777777777778,726,2
turboquant,242.42466599935142,6.656585216522217,0.0,1.0,726,2
apohara,3239.1709570001694,6.656585216522217,0.0,2.3777777777777778,726,3
turboquant,239.4979720011179,6.656585216522217,0.0,1.0,726,3
apohara,2751.024696000968,6.656585216522217,0.0,2.3777777777777778,726,4
turboquant,237.56211200088728,6.656585216522217,0.0,1.0,726,4
